similarity,skill_a,skill_b
0.6,brand-perception-psychologist,scarcity-urgency-psychologist
0.6,azure-resource-manager-playwright-dotnet,azure-resource-manager-sql-dotnet
0.6,azure-resource-manager-playwright-dotnet,azure-resource-manager-redis-dotnet
0.6,azure-mgmt-fabric-dotnet,azure-resource-manager-cosmosdb-dotnet
0.59,render-automation,zendesk-automation
0.59,render-automation,square-automation
0.59,azure-appconfiguration-java,azure-appconfiguration-py
0.58,m365-agents-dotnet,m365-agents-py
0.58,azure-servicebus-py,azure-servicebus-ts
0.58,azure-mgmt-arizeaiobservabilityeval-dotnet,azure-mgmt-fabric-dotnet
0.57,square-automation,zendesk-automation
0.57,shopify-automation,stripe-automation
0.57,shopify-automation,square-automation
0.57,notion-automation,render-automation
0.57,fp-react,fp-ts-react
0.57,azure-keyvault-certificates-rust,azure-keyvault-keys-rust
0.57,asana-automation,zendesk-automation
0.57,asana-automation,square-automation
0.57,airtable-automation,render-automation
0.56,trust-calibrator,ux-persuasion-engineer
0.56,sequence-psychologist,ux-persuasion-engineer
0.56,sequence-psychologist,trust-calibrator
0.56,pitch-psychologist,ux-persuasion-engineer
0.56,pitch-psychologist,trust-calibrator
0.56,onboarding-psychologist,ux-persuasion-engineer
0.56,onboarding-psychologist,trust-calibrator
0.56,objection-preemptor,ux-persuasion-engineer
0.56,objection-preemptor,trust-calibrator
0.56,objection-preemptor,sequence-psychologist
0.56,objection-preemptor,pitch-psychologist
0.56,objection-preemptor,onboarding-psychologist
0.56,jira-automation,twitter-automation
0.56,jira-automation,notion-automation
0.56,jira-automation,linear-automation
0.56,identity-mirror,ux-persuasion-engineer
0.56,identity-mirror,trust-calibrator
0.56,identity-mirror,sequence-psychologist
0.56,identity-mirror,pitch-psychologist
0.56,identity-mirror,onboarding-psychologist
0.56,identity-mirror,objection-preemptor
0.56,hig-foundations,hig-patterns
0.56,headline-psychologist,ux-persuasion-engineer
0.56,headline-psychologist,trust-calibrator
0.56,headline-psychologist,objection-preemptor
0.56,headline-psychologist,identity-mirror
0.56,gmail-automation,google-slides-automation
0.56,gmail-automation,google-sheets-automation
0.56,gmail-automation,google-drive-automation
0.56,copywriting-psychologist,ux-persuasion-engineer
0.56,copywriting-psychologist,trust-calibrator
0.56,copywriting-psychologist,objection-preemptor
0.56,copywriting-psychologist,identity-mirror
0.56,azure-eventhub-java,azure-eventhub-ts
0.56,azure-ai-projects-dotnet,azure-ai-projects-ts
0.56,aws-serverless,gcp-cloud-run
0.55,azure-keyvault-secrets-rust,azure-security-keyvault-secrets-java
